0,"(67969, 'savannas')"
1,"(10765, 'cagoules')"
2,"(80259, 'transits')"
3,"(17804, 'craniums')"
4,"(81826, 'unbroken')"
5,"(64086, 'regulate')"
6,"(72275, 'snooping')"
7,"(46851, 'marquise')"
8,"(83330, 'untasted')"
9,"(943, 'adaption')"
10,"(70955, 'siltiest')"
11,"(42813, 'knurling')"
12,"(58888, 'populace')"
13,"(81174, 'turbaned')"
14,"(33343, 'graffito')"
15,"(55244, 'panderer')"
16,"(25916, 'enriched')"
17,"(74661, 'stickies')"
18,"(60191, 'priviest')"
19,"(28445, 'feedbags')"
20,"(44326, 'libretto')"
21,"(12361, 'centavos')"
22,"(21147, 'detector')"
23,"(47353, 'mckenzie')"
24,"(44521, 'limbered')"
25,"(64709, 'reorient')"
26,"(62899, 'reasoned')"
27,"(24785, 'eggplant')"
28,"(23764, 'dressier')"
29,"(70218, 'shinbone')"
30,"(484, 'absurdly')"
31,"(63495, 'redeemer')"
32,"(53423, 'ontology')"
33,"(29950, 'foldouts')"
34,"(58462, 'podiatry')"
35,"(12290, 'celibate')"
36,"(53182, 'ofttimes')"
37,"(48295, 'midlands')"
38,"(62044, 'raceways')"
39,"(5798, 'banknote')"
40,"(58979, 'porthole')"
41,"(25582, 'enclosed')"
42,"(25111, 'ellipsis')"
43,"(83822, 'vacation')"
44,"(39714, 'inquirer')"
45,"(44995, 'localize')"
46,"(43035, 'lacerate')"
47,"(83805, 'uxorious')"
48,"(36503, 'hollered')"
49,"(59936, 'preteens')"
50,"(33263, 'governed')"
51,"(67028, 'rukeyser')"
52,"(29992, 'fomented')"
53,"(82508, 'unframed')"
54,"(45524, 'luckiest')"
55,"(30374, 'formerly')"
56,"(46436, 'maneuver')"
57,"(46884, 'marshals')"
58,"(18395, 'crumbing')"
59,"(30274, 'forestry')"
60,"(10826, 'calcines')"
61,"(49056, 'missions')"
62,"(5251, 'babblers')"
63,"(16015, 'confutes')"
64,"(37571, 'hygienic')"
65,"(43427, 'larkspur')"
66,"(14546, 'cobblers')"
67,"(46810, 'marksmen')"
68,"(62709, 'reactant')"
69,"(16804, 'convulse')"
70,"(59201, 'potholes')"
71,"(86331, 'whistled')"
72,"(12851, 'chastise')"
73,"(43522, 'latitude')"
74,"(73809, 'sprocket')"
75,"(28968, 'findings')"
76,"(24297, 'dynamics')"
77,"(23230, 'donating')"
78,"(43765, 'leakages')"
79,"(3501, 'appendix')"
80,"(29191, 'fitfully')"
81,"(18938, 'cynicism')"
82,"(31430, 'fuzziest')"
83,"(18645, 'cupcakes')"
84,"(17532, 'coupling')"
85,"(28056, 'fanatics')"
86,"(36005, 'hexagons')"
87,"(23873, 'dropkick')"
88,"(42274, 'kenneled')"
89,"(10877, 'calicoes')"
90,"(15410, 'comperes')"
91,"(42174, 'kathrine')"
92,"(72432, 'soberest')"
93,"(75392, 'stuffily')"
94,"(36490, 'holidays')"
95,"(8351, 'blushers')"
96,"(74709, 'stiletto')"
97,"(72222, 'snifters')"
98,"(23936, 'drumbeat')"
99,"(51732, 'nippiest')"
100,"(30041, 'foosball')"
101,"(86771, 'winglike')"
102,"(77527, 'taproots')"
103,"(1963, 'alfresco')"
104,"(27085, 'exclaims')"
105,"(84601, 'viennese')"
106,"(80509, 'trembles')"
107,"(87193, 'wordplay')"
108,"(14593, 'cockerel')"
109,"(11608, 'carlsbad')"
110,"(70446, 'shorties')"
111,"(38541, 'impulses')"
112,"(72202, 'snicking')"
113,"(2904, 'animated')"
114,"(26030, 'entirety')"
115,"(65215, 'resonant')"
116,"(52629, 'nuthouse')"
117,"(66726, 'rotatory')"
118,"(14123, 'cleverer')"
119,"(87123, 'woodshed')"
120,"(54347, 'overcame')"
121,"(85412, 'wannabes')"
122,"(71799, 'slotting')"
123,"(31774, 'garments')"
124,"(9575, 'brighton')"
125,"(17565, 'courtesy')"
126,"(863, 'actinium')"
127,"(13287, 'chiquita')"
128,"(25668, 'endemics')"
129,"(47782, 'mensches')"
130,"(75973, 'sulawesi')"
131,"(12985, 'cheering')"
132,"(68490, 'scorners')"
133,"(27867, 'factotum')"
134,"(48825, 'mischief')"
135,"(44914, 'llantera')"
136,"(5989, 'barmaids')"
137,"(29438, 'flattish')"
138,"(72279, 'snootier')"
139,"(83644, 'urbanity')"
140,"(37857, 'idolater')"
141,"(25355, 'emerging')"
142,"(37014, 'hotplate')"
143,"(50470, 'murmurer')"
144,"(79760, 'torrider')"
145,"(18308, 'crouched')"
